note_id,raw_note,gratitude_type,time_of_event
128,parties,fun,
129,Saturdays,weekend,
130,family,family,
131,meditation,mental health,
132,water,health,
133,fast and easy days,new day,
134,rockies games,sports,
135,great sleep,sleeping,
136,carlos,specific friend,
137,katie,specific family,
138,luis,specific family,
139,3 day weekends,weekend,
140,good sleep,sleeping,
141,fresh start,new day,
142,clean room,home,
143,fast and easy days,new day,
144,good life,mental health,
145,water,health,
146,good life,mental health,
147,crushing goals,achievement,
148,friday,weekend,
149,sleeping in,sleeping,
150,fast and easy days,new day,
151,Saturdays,weekend,
152,bro and katie,family,
153,good day overall,new day,
154,great weekend,weekend,
155,loki,entertainment,
156,fast and easy days,new day,
157,my friends,friends,
158,my family,family,
159,God,faith,
160,my family,family,
161,my friends,friends,
162,my bed,sleeping,
163,my family,family,
164,friday,weekend,
165,rockies games,sports,
166,my mom,parent,
167,friday nights,fun,
168,getting home safely,safety,
169,my friends,friends,
170,fern,specific friend,
171,forgiveness,mental health,
172,getting home safely,safety,
173,peaceful sundays,weekend,
174,comfy bed,home,
175,great days,new day,
176,fast and easy days,new day,
177,my family,family,
178,my friends,friends,
179,family,family,
180,good rest,sleeping,
181,life,myself,
182,amazing trip,travel,
183,her,love,
184,friday,weekend,
185,good night sleep,sleeping,
186,marvel movies,entertainment,
187,my friends,friends,
188,my friends,friends,
189,sports,sports,
190,netflix,entertainment,
191,good sleep,sleeping,
192,my friends,friends,
193,new week,new day,
194,good dreams,mental health,
195,her,love,
196,my friends,friends,
197,fun dreams,mental health,
198,my family,family,
199,my bed,sleeping,
200,good sleep,sleeping,
201,good weather,weather,
202,my work,career,
203,friday,weekend,
204,good sleep,sleeping,
205,fun ahead,fun,
206,my family,family,
207,my well being,health,
208,fresh week,new day,
209,my family,family,
210,carl,specific friend,
211,gym,exercise,
212,my job,career,
213,my mom,parent,
214,food at work,fun,
215,good health,health,
216,good food,fun,
217,my friends,friends,
218,friday,weekend,
219,my tia clara,specific family,
220,mom,parent,
221,my mom,parent,
222,my dad,parent,
223,my brother,sibling,
224,my mom,parent,
225,gym,exercise,
226,warzone,fun,
227,my friends,friends,
228,my family,family,
229,my health,health,
230,travel week,travel,
231,fun restful weekend,weekend,
232,my family,family,
233,good food,fun,
234,good friends,friends,
235,weekends,weekend,
236,my friends,friends,
237,my family,family,
238,myself,myself,
239,my mom,parent,
240,God,faith,
241,my brother,sibling,
242,God,faith,
243,my mom,parent,
244,my brother,sibling,
245,God,faith,
246,my mom,parent,
247,my brother,sibling,
248,baseball ,sports,
